channel,target,mean_ci,nonzero_ci_ratio,active_ratio,free_ratio,dissolution_ratio,score
trap,128,0.241333,0.102783,0.048218,0.951782,0.000000,0.484705
trap,256,0.177002,0.084961,0.031860,0.968140,0.000000,0.403906
trap,64,0.149536,0.081421,0.026855,0.973145,0.000000,0.372180
trap,32,0.144409,0.079956,0.025391,0.974609,0.000000,0.365515
radiative,128,0.131714,0.078491,0.024414,0.975586,0.000244,0.352112
trap,16,0.130737,0.076050,0.021484,0.978516,0.000000,0.347742
trap,8,0.117065,0.072144,0.017578,0.982422,0.000000,0.329968
radiative,256,0.105957,0.070312,0.016479,0.983521,0.000000,0.318433
trap,4,0.106812,0.069214,0.014648,0.985352,0.000000,0.316638
trap,2,0.101685,0.067749,0.013184,0.986816,0.000000,0.309973
trap,1,0.099976,0.067261,0.012695,0.987305,0.000000,0.307751
trap,0,0.098267,0.066772,0.012207,0.987793,0.000000,0.305530
radiative,64,0.095825,0.067993,0.013428,0.986572,0.000000,0.305042
radiative,32,0.093628,0.067261,0.012695,0.987305,0.000000,0.302039
radiative,16,0.087769,0.065308,0.010742,0.989258,0.000000,0.294031
radiative,8,0.081909,0.063354,0.008789,0.991211,0.000000,0.286023
radiative,4,0.077515,0.061890,0.007324,0.992676,0.000000,0.280017
radiative,2,0.075317,0.061157,0.006592,0.993408,0.000000,0.277014
radiative,1,0.074585,0.060913,0.006348,0.993652,0.000000,0.276013
radiative,0,0.073853,0.060669,0.006104,0.993896,0.000000,0.275012
trap,512,0.055542,0.054565,0.000000,1.000000,0.000000,0.249988
trap,1024,0.055542,0.054565,0.000000,1.000000,0.000000,0.249988
radiative,512,0.055542,0.054565,0.000000,1.000000,0.000000,0.249988
radiative,1024,0.055542,0.054565,0.000000,1.000000,0.000000,0.249988
